Age,Mortality Rate,survival_rate,lx
1,0.0035467709367217283,0.9964532290632783,0.9964532290632783
2,3.372970132147395e-4,0.9996627029867853,0.9961171283653071
3,2.4023107547649304e-4,0.9997597689245236,0.9958778300762594
4,1.8043713926302416e-4,0.9998195628607369,0.9956981367295449
5,1.576638919949174e-4,0.9998423361080051,0.995541151086056
6,1.474379697585769e-4,0.9998525620302414,0.9953943705199287
7,1.3814060864040663e-4,0.9998618593913596,0.9952568661357479
8,1.2860488919949175e-4,0.9998713951108005,0.9951288712367535
9,1.2627726836086407e-4,0.9998737227316391,0.9950032090812266
10,1.2500360584498095e-4,0.999874996394155,0.9948788300922642
11,1.3696678500635325e-4,0.9998630332149937,0.9947425647374356
12,1.4521640584498093e-4,0.999854783594155,0.9945981117974434
13,1.6118866836086404e-4,0.9998388113316391,0.9944377938522485
14,1.8100057255400254e-4,0.999818999427446,0.9942578000421919
15,2.1694796289707752e-4,0.9997830520371029,0.9940420978378782
16,2.625880782719187e-4,0.999737411921728,0.9937810742336856
17,3.1455799364675985e-4,0.9996854420063532,0.9934684724528505
18,3.762199479034308e-4,0.9996237800520966,0.9930947097959006
19,4.235401534942821e-4,0.9995764598465057,0.9926740943100792
20,4.5942347293519695e-4,0.9995405765270649,0.9922180365301786
21,4.958337715374841e-4,0.9995041662284625,0.9917260613189383
22,5.207513895806861e-4,0.9994792486104194,0.9912096185944231
23,5.404496465057179e-4,0.9994595503534943,0.9906739197064407
24,5.425575631512071e-4,0.9994574424368488,0.9901364220786872
25,5.453681186785261e-4,0.9994546318813214,0.989596433240943
26,5.558572714104193e-4,0.9994441427285896,0.9890463588677643
27,5.682351547649301e-4,0.9994317648452351,0.9884843479569634
28,5.829344409148666e-4,0.9994170655590852,0.987908126386234
29,5.988006465057179e-4,0.9994011993534943,0.9873165663614657
30,6.193283118170267e-4,0.999380671688183,0.9867050932591921
31,6.499311118170266e-4,0.999350068888183,0.9860638029208947
32,6.867445326556544e-4,0.9993132554673444,0.9853866289953892
33,7.234952548919949e-4,0.999276504745108,0.984673706445077
34,7.69242281321474e-4,0.9992307577186785,0.9839162537967739
35,8.171350508259212e-4,0.9991828649491741,0.9831122613387193
36,8.733841842439644e-4,0.999126615815756,0.9822536266383297
37,9.498901621346887e-4,0.9990501098378654,0.9813205935816649
38,0.0010389179067344346,0.9989610820932656,0.9803010820447456
39,0.0011303800152477764,0.9988696199847522,0.9791929692926765
40,0.001225800944599746,0.9987741990554002,0.9779926736259721
41,0.001337018476747141,0.9986629815232528,0.9766850793512108
42,0.0014474328449809405,0.998552567155019,0.975271393288155
43,0.0015733551951715374,0.9984266448048285,0.9737369449748229
44,0.0017089262259212198,0.9982910737740788,0.972072900372407
45,0.0018567366205844982,0.9981432633794155,0.9702680170204078
46,0.0020141832597204575,0.9979858167402795,0.9683137194230831
47,0.0021985740808132146,0.9978014259191867,0.9661848099774636
48,0.002410505665819568,0.9975894943341804,0.9638558160187841
49,0.00263510375501906,0.9973648962449809,0.961315955938696
50,0.002881213865057179,0.9971187861349429,0.9585461990777447
51,0.003145021744599746,0.9968549782554003,0.9555315504384418
52,0.0034487228810673445,0.9965512771189327,0.9522361869168631
53,0.003795397796696315,0.9962046022033036,0.9486220717911042
54,0.004177706091486658,0.9958222939085133,0.9446590075832638
55,0.004613094558322745,0.9953869054416773,0.940301206255911
56,0.005105603202795426,0.9948943967972046,0.9355004014056584
57,0.005619987973824651,0.9943800120261753,0.9302429004002504
58,0.00617028921296061,0.9938297107870394,0.9245030326664775
59,0.006775722242439644,0.9932242777575604,0.9182388569048363
60,0.007501002944091487,0.9924989970559085,0.9113511445358139
61,0.008274265176111817,0.9917257348238881,0.9038103834973715
62,0.009043515019313851,0.9909564849806861,0.8956367607196012
63,0.00989058938729352,0.9901094106127065,0.886778385279158
64,0.010791810686149936,0.98920818931385,0.8772084408246555
65,0.01179480792249047,0.9882051920775096,0.8668619357571414
66,0.01295246090444727,0.9870475390955528,0.8556339404246937
67,0.014188622256416773,0.9858113777435832,0.8434936736542382
68,0.015503496109021601,0.9844965038909784,0.8304165727667554
69,0.01698342158932656,0.9830165784106735,0.816313258016694
70,0.018651765124269377,0.9813482348757306,0.8010875748603395
71,0.020562487060736975,0.9794375129392631,0.7846152219677567
72,0.022765758884625162,0.9772342411153748,0.7667528610072321
73,0.025307340269123256,0.9746926597308767,0.7473483854513983
74,0.028334236526048284,0.9716657634739517,0.726172839530658
75,0.03182483649606099,0.9681751635039391,0.7030625076447146
76,0.03583390650571792,0.9641660934942821,0.6778690314780983
77,0.040464987995425666,0.9595350120045744,0.6504390692568662
78,0.04564333633341804,0.954356663666582,0.6207508600543797
79,0.05140589927191869,0.9485941007280814,0.5888406038694675
80,0.05769567922897077,0.9423043207710292,0.5548670452716212
81,0.0646096709707751,0.9353903290292249,0.5190172680440956
82,0.07238829879618805,0.927611701203812,0.48144649096453845
83,0.08112888217052097,0.9188711178294791,0.44238727532766564
84,0.09098651607700126,0.9090134839229987,0.4021359983888042
85,0.10163566077153749,0.8983643392284625,0.36126464047253615
86,0.11276342591181704,0.8872365740881829,0.3205272019520521
87,0.12490965290927573,0.8750903470907243,0.28049026040823993
88,0.1380312734299873,0.8619687265700127,0.24177383257938181
89,0.15248948848157562,0.8475105115184244,0.20490586452112178
90,0.16847775353087674,0.8315222464691232,0.17038378478130098
91,0.18435779780889455,0.8156422021911054,0.13897220543667568
92,0.20150767026226174,0.7984923297377382,0.11096824008792273
93,0.21947818412782719,0.7805218158721728,0.0866131322575647
94,0.23804537449479032,0.7619546255052096,0.06599527675314591
95,0.25796651698627704,0.742033483013723,0.048970705071591444
96,0.27845540395654383,0.7215445960434561,0.03533454760884468
97,0.3001550888663278,0.6998449111336722,0.024728703331260413
98,0.3231267553560356,0.6768732446439645,0.01673819765966825
99,0.34652291522744605,0.653477084772554,0.010938028610986793
100,0.37097341737992373,0.6290265826200763,0.006880310757769642
101,0.39558799944950446,0.6044120005504956,0.0041585423895126455
102,0.4198004970708005,0.5801995029291995,0.0024127842273052426
103,0.4445912184072173,0.5554087815927826,0.0013400815479338883
104,0.46981582329306226,0.5301841767069377,7.104900322114873e-4
105,0.495312205562643,0.504687794437357,3.585756473265423e-4
106,0.5209182590502669,0.4790817409497331,1.7178704538337738e-4
107,0.5466598091228971,0.45334019087710287,7.787797194431384e-5
108,0.572585316883202,0.427414683116798,3.328618870035778e-5
109,0.5985457271093266,0.40145427289067337,1.3362882682003881e-5
110,0.624392160239136,0.375607839760864,5.019203497165338e-6
111,0.6543991193910547,0.34560088060894534,1.7346411485758389e-6
112,0.6842428906626684,0.3157571093373316,5.477252748118956e-7
113,0.7138865855126811,0.28611341448731886,1.5671154857743653e-7
114,0.7432938423789581,0.2567061576210419,4.0228819490156984e-8
115,0.7724281240396442,0.22757187596035577,9.154947919045547e-9
116,0.8014137975768235,0.19858620242317648,1.8180463406252174e-9
117,0.8303994711140026,0.16960052888599741,3.0834162090928906e-10
118,0.8593851446511818,0.14061485534881824,4.335741242217983e-11
119,0.88837081818836094,0.11162918181163906,4.83995247415773e-12
120,1,0,0
